model,drug_1,drug_2,context,label,prediction
DeepDDI,Docetaxel,LEVULINIC_ACID,Nanoparticle,0,1.0
DeepDDI,Docetaxel,ISOCETETH-20,Nanoparticle,0,0.99999976
DeepDDI,Lapatinib,Dapsone,Nanoparticle,0,0.2108086
DeepDDI,Lapatinib,Droxicam,Nanoparticle,0,0.41799384
DeepDDI,Lapatinib,Silicon_dioxides,Nanoparticle,0,0.32217044
DeepDDI,Docetaxel,Enoximone,Nanoparticle,0,0.9999988
DeepDDI,Lapatinib,DICHLOROBENZYL ALCOHOL,Nanoparticle,0,0.36638486
DeepDDI,Lapatinib,BENZOIC ACID,Nanoparticle,0,0.41004473
DeepDDI,Lapatinib,DIHYDROXYALUMINUM_SODIUM_CARBONATE,Nanoparticle,0,0.34409827
DeepDDI,Lapatinib,Manganese_chloride,Nanoparticle,0,0.31005263
DeepDDI,Docetaxel,Almitrine,Nanoparticle,0,1.0
DeepDDI,Lapatinib,"1,2,6-HEXANETRIOL",Nanoparticle,0,0.2589715
DeepDDI,Docetaxel,Sumatriptan,Nanoparticle,0,1.0
DeepDDI,Docetaxel,DIISOPROPYL DILINOLEATE,Nanoparticle,0,0.9991947
DeepDDI,Docetaxel,D&C RED NO. 6,Nanoparticle,0,1.0
DeepDDI,Docetaxel,BENZODODECINIUM_BROMIDE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Captopril,Nanoparticle,0,0.419258
DeepDDI,Lapatinib,Polaprezinc,Nanoparticle,0,0.40747657
DeepDDI,Docetaxel,L-Carnitine,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Chloroxine,Nanoparticle,0,0.30881977
DeepDDI,Lapatinib,Deserpidine,Nanoparticle,0,0.42238125
DeepDDI,Lapatinib,Hemin,Nanoparticle,0,0.41784084
DeepDDI,Docetaxel,Arbutamine,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Picosulfuric acid,Nanoparticle,0,0.39311594
DeepDDI,Lapatinib,POTASSIUM_CITRATE,Nanoparticle,0,0.38595197
DeepDDI,Lapatinib,Flunitrazepam,Nanoparticle,0,0.41131613
DeepDDI,Docetaxel,Meclizine,Nanoparticle,0,1.0
DeepDDI,Lapatinib,"2-ETHYL-1,6-HEXANEDIOL",Nanoparticle,0,0.32275793
DeepDDI,Docetaxel,TRICAPRYLIN,Nanoparticle,0,0.99999785
DeepDDI,Docetaxel,Adipic_acid,Nanoparticle,0,1.0
DeepDDI,Lapatinib,MEDRONIC ACID,Nanoparticle,0,0.40439314
DeepDDI,Lapatinib,Adapalene,Nanoparticle,0,0.40782464
DeepDDI,Lapatinib,Ecamsule,Nanoparticle,0,0.4125716
DeepDDI,Lapatinib,POLYVINYLPYRIDINE,Nanoparticle,0,0.40383297
DeepDDI,Lapatinib,Quinupristin,Nanoparticle,0,0.4479186
DeepDDI,Lapatinib,TRICHLOROETHYLENE,Nanoparticle,0,0.397984
DeepDDI,Lapatinib,Fulvestrant,Nanoparticle,0,0.43266475
DeepDDI,Docetaxel,Sildenafil,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Lornoxicam,Nanoparticle,0,0.99999964
DeepDDI,Docetaxel,HYDROXYOCTACOSANYL HYDROXYSTEARATE,Nanoparticle,0,0.9999739
DeepDDI,Lapatinib,Theobromine,Nanoparticle,0,0.40846285
DeepDDI,Docetaxel,Acitretin,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Metoprolol,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Medrysone,Nanoparticle,0,0.42086378
DeepDDI,Docetaxel,PROPYLENE_GLYCOL_DIACETATE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,GLYCERYL_TRIOLEATE,Nanoparticle,0,0.34702864
DeepDDI,Lapatinib,SUCROSE STEARATE,Nanoparticle,0,0.39147624
DeepDDI,Docetaxel,NAPHTHOL BLUE BLACK,Nanoparticle,0,1.0
DeepDDI,Lapatinib,PROPYLENE GLYCOL,Nanoparticle,0,0.4071402
DeepDDI,Docetaxel,Ondansetron,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Clonidine,Nanoparticle,0,1.0
DeepDDI,Lapatinib,NEOHESPERIDIN DIHYDROCHALONE,Nanoparticle,0,0.2762163
DeepDDI,Lapatinib,Loratadine,Nanoparticle,0,0.44454625
DeepDDI,Docetaxel,RHODAMINE_B,Nanoparticle,0,1.0
DeepDDI,Docetaxel,VERSETAMIDE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Nortriptyline,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Prussian blue,Nanoparticle,0,0.3599955
DeepDDI,Lapatinib,Oxtriphylline,Nanoparticle,0,0.40865788
DeepDDI,Docetaxel,STEAROXYTRIMETHYLSILANE,Nanoparticle,0,0.99999917
DeepDDI,Lapatinib,Zinc_hydrosulfite_(packaging),Nanoparticle,0,0.24081565
DeepDDI,Docetaxel,Tolvaptan,Nanoparticle,0,0.99999833
DeepDDI,Docetaxel,Cupric Chloride,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Roxithromycin,Nanoparticle,0,0.44015387
DeepDDI,Lapatinib,Fluorescein,Nanoparticle,0,0.41066432
DeepDDI,Lapatinib,DEHYDROACETIC ACID,Nanoparticle,0,0.3868239
DeepDDI,Lapatinib,Colchicine,Nanoparticle,0,0.39733803
DeepDDI,Docetaxel,Plicamycin,Nanoparticle,0,1.0
DeepDDI,Docetaxel,HEXYLRESORCINOL,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Natamycin,Nanoparticle,0,0.4302268
DeepDDI,Lapatinib,ISOPROPYL_PALMITATE,Nanoparticle,0,0.4318856
DeepDDI,Docetaxel,DOCUSATE_SODIUM,Nanoparticle,0,1.0
DeepDDI,Docetaxel,DISODIUM SULFOSALICYLATE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Brotizolam,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Sorbitol,Nanoparticle,0,0.4203064
DeepDDI,Docetaxel,Regorafenib,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Levobetaxolol,Nanoparticle,0,0.38699868
DeepDDI,Lapatinib,Isoflurane,Nanoparticle,0,0.39691493
DeepDDI,Docetaxel,METHYL_SALICYLATE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Methadone,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Methysergide,Nanoparticle,0,0.99999845
DeepDDI,Docetaxel,SUCROSE PALMITATE,Nanoparticle,0,0.9977848
DeepDDI,Lapatinib,Calcium_phosphate_monobasic,Nanoparticle,0,0.3621797
DeepDDI,Lapatinib,DICHLOROTETRAFLUOROETHANE,Nanoparticle,0,0.32120684
DeepDDI,Lapatinib,SODIUM THIOSULFATE,Nanoparticle,0,0.18159169
DeepDDI,Lapatinib,ETHYL_OLEATE,Nanoparticle,0,0.4043465
DeepDDI,Docetaxel,ACID BLUE 9 AMMONIUM,Nanoparticle,0,1.0
DeepDDI,Lapatinib,ALUMINUM_OXIDE,Nanoparticle,0,0.38705793
DeepDDI,Docetaxel,Mupirocin,Nanoparticle,0,0.99999523
DeepDDI,Lapatinib,CALCIUM GLUCEPTATE,Nanoparticle,0,0.40468124
DeepDDI,Lapatinib,Fosinopril,Nanoparticle,0,0.43469128
DeepDDI,Docetaxel,Azathioprine,Nanoparticle,0,1.0
DeepDDI,Docetaxel,L-Cystine,Nanoparticle,0,1.0
DeepDDI,Docetaxel,METHYLCHLOROISOTHIAZOLINONE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,OLEYL_ALCOHOL,Nanoparticle,0,0.38593036
DeepDDI,Docetaxel,Erythromycin,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Oxandrolone,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Oxamniquine,Nanoparticle,0,0.40477362
DeepDDI,Lapatinib,Warfarin,Nanoparticle,0,0.37402508
DeepDDI,Lapatinib,PENTADECALACTONE,Nanoparticle,0,0.42193094
DeepDDI,Lapatinib,Cyclothiazide,Nanoparticle,0,0.40450612
DeepDDI,Docetaxel,Methoxyflurane,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Ezetimibe,Nanoparticle,0,0.41571385
DeepDDI,Lapatinib,Paromomycin,Nanoparticle,0,0.42542234
DeepDDI,Docetaxel,Eprosartan,Nanoparticle,0,0.9999734
DeepDDI,Docetaxel,Fosamprenavir,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Gadopentetate dimeglumine,Nanoparticle,0,0.37960383
DeepDDI,Lapatinib,SODIUM_STEARATE,Nanoparticle,0,0.41434097
DeepDDI,Lapatinib,Alpha-Linolenic Acid,Nanoparticle,0,0.41922134
DeepDDI,Lapatinib,Lesinurad,Nanoparticle,0,0.39621142
DeepDDI,Lapatinib,Quinapril,Nanoparticle,0,0.41619483
DeepDDI,Lapatinib,SODIUM_LAURETH-2_SULFATE,Nanoparticle,0,0.42035013
DeepDDI,Lapatinib,Ibuprofen,Nanoparticle,0,0.4029359
DeepDDI,Lapatinib,Zopiclone,Nanoparticle,0,0.44085008
DeepDDI,Docetaxel,Benzoyl peroxide,Nanoparticle,0,0.9999999
DeepDDI,Lapatinib,Bethanechol,Nanoparticle,0,0.38490385
DeepDDI,Docetaxel,THREONINE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,CALCIUM_SALICYLATE,Nanoparticle,0,0.36088765
DeepDDI,Lapatinib,NONOXYNOL_IODINE,Nanoparticle,0,0.37447605
DeepDDI,Docetaxel,SULFUROUS_ACID,Nanoparticle,0,1.0
DeepDDI,Docetaxel,DIMETHICONE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Articaine,Nanoparticle,0,0.3855082
DeepDDI,Docetaxel,Marimastat,Nanoparticle,0,0.9999982
DeepDDI,Lapatinib,Kappadione,Nanoparticle,0,0.31578237
DeepDDI,Docetaxel,Pravastatin,Nanoparticle,0,1.0
DeepDDI,Lapatinib,EXAMETAZIME,Nanoparticle,0,0.4059459
DeepDDI,Lapatinib,Zalcitabine,Nanoparticle,0,0.38905278
DeepDDI,Docetaxel,METHYLISOTHIAZOLINONE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,SULFACETAMIDE_SODIUM,Nanoparticle,0,0.23574206
DeepDDI,Docetaxel,Parecoxib,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Telbivudine,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Sucralfate,Nanoparticle,0,0.3993178
DeepDDI,Lapatinib,AMMONIUM_NONOXYNOL-4_SULFATE,Nanoparticle,0,0.4125657
DeepDDI,Docetaxel,Hexachlorophene,Nanoparticle,0,1.0
DeepDDI,Docetaxel,ISOMALT,Nanoparticle,0,0.9999993
DeepDDI,Lapatinib,SODIUM_BISULFATE_ACETONE,Nanoparticle,0,0.29697683
DeepDDI,Docetaxel,ALFADEX,Nanoparticle,0,1.0
DeepDDI,Docetaxel,BENZYL_ALCOHOL,Nanoparticle,0,1.0
DeepDDI,Lapatinib,TOCOPHEROL,Nanoparticle,0,0.41516653
DeepDDI,Docetaxel,PEG-8_LAURATE,Nanoparticle,0,0.999997
DeepDDI,Docetaxel,Forasartan,Nanoparticle,0,0.9999032
DeepDDI,Docetaxel,Atracurium besylate,Nanoparticle,0,1.0
DeepDDI,Lapatinib,"DEXTROSE,_UNSPECIFIED_FORM",Nanoparticle,0,0.41895965
DeepDDI,Docetaxel,Rotigotine,Nanoparticle,0,0.9999999
DeepDDI,Lapatinib,Pentosan Polysulfate,Nanoparticle,0,0.42585
DeepDDI,Docetaxel,Sertindole,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Piroxicam,Nanoparticle,0,0.99999976
DeepDDI,Lapatinib,MALIC ACID,Nanoparticle,0,0.38094047
DeepDDI,Docetaxel,Propacetamol,Nanoparticle,0,0.9999995
DeepDDI,Docetaxel,D&C RED NO. 36,Nanoparticle,0,1.0
DeepDDI,Docetaxel,ISOPROPYL ISOSTEARATE,Nanoparticle,0,0.9999993
DeepDDI,Lapatinib,Salicylamide,Nanoparticle,0,0.35647482
DeepDDI,Docetaxel,POLYVINYLPYRIDINE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Dapagliflozin,Nanoparticle,0,1.0
DeepDDI,Docetaxel,DIETHANOLAMINE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Candesartan,Nanoparticle,0,0.9921692
DeepDDI,Lapatinib,Methylscopolamine bromide,Nanoparticle,0,0.39475876
DeepDDI,Docetaxel,Iothalamic acid,Nanoparticle,0,0.9999976
DeepDDI,Lapatinib,SUCRALOSE,Nanoparticle,0,0.42034438
DeepDDI,Docetaxel,Methadyl Acetate,Nanoparticle,0,0.99999976
DeepDDI,Docetaxel,PENTETIC_ACID,Nanoparticle,0,1.0
DeepDDI,Lapatinib,DINOSEB-AMMONIUM,Nanoparticle,0,0.37741926
DeepDDI,Docetaxel,PENTETATE_CALCIUM_TRISODIUM,Nanoparticle,0,1.0
DeepDDI,Lapatinib,DIMETHYL ISOSORBIDE,Nanoparticle,0,0.3955134
DeepDDI,Docetaxel,FD&C RED NO. 3,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Allopurinol,Nanoparticle,0,1.0
DeepDDI,Docetaxel,DIBASIC CALCIUM PHOSPHATE DIHYDRATE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,GLYCERYL 1-STEARATE,Nanoparticle,0,0.44012567
DeepDDI,Lapatinib,SODIUM SULFITE,Nanoparticle,0,0.29204977
DeepDDI,Docetaxel,L-Leucine,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Levodopa,Nanoparticle,0,0.99999976
DeepDDI,Lapatinib,METHANESULFONIC_ACID,Nanoparticle,0,0.34868526
DeepDDI,Lapatinib,Hyaluronic acid,Nanoparticle,0,0.44521984
DeepDDI,Lapatinib,TROMANTADINE,Nanoparticle,0,0.40771416
DeepDDI,Docetaxel,OIL ORANGE SS,Nanoparticle,0,1.0
DeepDDI,Docetaxel,EXT. D&C YELLOW NO. 7,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Clomifene,Nanoparticle,0,0.9999999
DeepDDI,Docetaxel,Dimenhydrinate,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Dutasteride,Nanoparticle,0,0.43259683
DeepDDI,Docetaxel,PIPERAZINE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,ISOBUTANE,Nanoparticle,0,0.35741746
DeepDDI,Lapatinib,L-Proline,Nanoparticle,0,0.39738446
DeepDDI,Lapatinib,Lactulose,Nanoparticle,0,0.4262194
DeepDDI,Lapatinib,Maraviroc,Nanoparticle,0,0.44398376
DeepDDI,Lapatinib,"1-AMINOCYCLOHEXANECARBOXYLIC ACID, C-11",Nanoparticle,0,0.3731644
DeepDDI,Lapatinib,Trimebutine,Nanoparticle,0,0.38726404
DeepDDI,Lapatinib,Sodium fluoride,Nanoparticle,0,0.2360771
DeepDDI,Docetaxel,Cerulenin,Nanoparticle,0,1.0
DeepDDI,Docetaxel,.ALPHA.-TOCOPHEROL ACETATE,Nanoparticle,0,0.9999999
DeepDDI,Lapatinib,SODIUM_BISULFATE,Nanoparticle,0,0.22084542
DeepDDI,Lapatinib,Zaleplon,Nanoparticle,0,0.42170635
DeepDDI,Lapatinib,Liothyronine,Nanoparticle,0,0.36849442
DeepDDI,Lapatinib,Sulfisoxazole,Nanoparticle,0,0.2843318
DeepDDI,Lapatinib,Dexketoprofen,Nanoparticle,0,0.4415345
DeepDDI,Lapatinib,Sulfamerazine,Nanoparticle,0,0.40483406
DeepDDI,Lapatinib,Oxilofrine,Nanoparticle,0,0.39749902
DeepDDI,Docetaxel,Crotamiton,Nanoparticle,0,1.0
DeepDDI,Lapatinib,TERT-BUTYL ALCOHOL,Nanoparticle,0,0.35459313
DeepDDI,Docetaxel,Formaldehyde,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Phenol,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Naphazoline,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Moclobemide,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Adenosine triphosphate,Nanoparticle,0,0.43447003
DeepDDI,Docetaxel,Spirapril,Nanoparticle,0,1.0
DeepDDI,Lapatinib,AMINOBENZOATE SODIUM,Nanoparticle,0,0.38210222
DeepDDI,Docetaxel,Oleic Acid,Nanoparticle,0,0.99999595
DeepDDI,Lapatinib,GLYCERYL_LAURATE,Nanoparticle,0,0.41719046
DeepDDI,Docetaxel,ETHYL_VANILLATE,Nanoparticle,0,0.99999976
DeepDDI,Lapatinib,SODIUM_PHOSPHITE,Nanoparticle,0,0.2894652
DeepDDI,Docetaxel,Cefmenoxime,Nanoparticle,0,0.99995244
DeepDDI,Lapatinib,TETROFOSMIN,Nanoparticle,0,0.38044092
DeepDDI,Docetaxel,Idelalisib,Nanoparticle,0,0.9999999
DeepDDI,Lapatinib,ACETONITRILE,Nanoparticle,0,0.3724418
DeepDDI,Docetaxel,Butethal,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Water,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Choline C 11,Nanoparticle,0,0.41227567
DeepDDI,Lapatinib,Reserpine,Nanoparticle,0,0.4399618
DeepDDI,Lapatinib,Propantheline,Nanoparticle,0,0.39588517
DeepDDI,Docetaxel,Paliperidone,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Miglustat,Nanoparticle,0,1.0
DeepDDI,Lapatinib,LAURALKONIUM_CHLORIDE,Nanoparticle,0,0.3550044
DeepDDI,Lapatinib,PHENOL,Nanoparticle,0,0.3740411
DeepDDI,Docetaxel,MALEIC_ACID,Nanoparticle,0,1.0
DeepDDI,Docetaxel,NITRIC ACID,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Chlordiazepoxide,Nanoparticle,0,0.39355087
DeepDDI,Lapatinib,Ergoloid mesylate,Nanoparticle,0,0.43540478
DeepDDI,Docetaxel,Pramipexole,Nanoparticle,0,1.0
DeepDDI,Lapatinib,SODIUM_FORMALDEHYDE_SULFOXYLATE,Nanoparticle,0,0.33820018
DeepDDI,Lapatinib,Glycine betaine,Nanoparticle,0,0.40785784
DeepDDI,Docetaxel,Rifabutin,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Dipivefrin,Nanoparticle,0,0.39057547
DeepDDI,Docetaxel,Hexylcaine,Nanoparticle,0,0.99999976
DeepDDI,Lapatinib,Dinoprost Tromethamine,Nanoparticle,0,0.4278686
DeepDDI,Docetaxel,Ammonium_phosphate_monobasic_(Report_34),Nanoparticle,0,1.0
DeepDDI,Docetaxel,Cloperastine,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Sulfametopyrazine,Nanoparticle,0,0.36149368
DeepDDI,Docetaxel,SODIUM_POLYMETAPHOSPHATE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,TRICHLOROMONOFLUOROMETHANE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Alitretinoin,Nanoparticle,0,0.40371546
DeepDDI,Docetaxel,Epinephrine,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Glimepiride,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Sparfloxacin,Nanoparticle,0,0.43186176
DeepDDI,Lapatinib,BENZOYL_PEROXIDE,Nanoparticle,0,0.4207433
DeepDDI,Docetaxel,CALTERIDOL CALCIUM,Nanoparticle,0,0.9999999
DeepDDI,Lapatinib,PENTETIC_ACID,Nanoparticle,0,0.4200472
DeepDDI,Lapatinib,Fingolimod,Nanoparticle,0,0.4029369
DeepDDI,Docetaxel,Stearic_acid_(packaging),Nanoparticle,0,0.9999993
DeepDDI,Docetaxel,Betamethasone,Nanoparticle,0,0.99999964
DeepDDI,Docetaxel,PVM/MA_COPOLYMER,Nanoparticle,0,1.0
DeepDDI,Docetaxel,D&C RED NO. 28,Nanoparticle,0,1.0
DeepDDI,Lapatinib,NAPHTHOL_BLUE_BLACK,Nanoparticle,0,0.45739302
DeepDDI,Docetaxel,PHENYLETHYL ALCOHOL,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Monobenzone,Nanoparticle,0,0.38982347
DeepDDI,Lapatinib,Niclosamide,Nanoparticle,0,0.38788012
DeepDDI,Docetaxel,BENZALDEHYDE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,D-Sorbitol,Nanoparticle,0,1.0
DeepDDI,Docetaxel,1-(PHENYLAZO)-2-NAPHTHYLAMINE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Ferric_citrate,Nanoparticle,0,0.37304738
DeepDDI,Lapatinib,Hetacillin,Nanoparticle,0,0.39828154
DeepDDI,Lapatinib,Tolvaptan,Nanoparticle,0,0.43742457
DeepDDI,Docetaxel,CHOLESTEROL,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Domperidone,Nanoparticle,0,0.42571902
DeepDDI,Lapatinib,STEARYL_ALCOHOL,Nanoparticle,0,0.42007387
DeepDDI,Docetaxel,TRICHLOROETHYLENE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Cefpodoxime,Nanoparticle,0,0.999998
DeepDDI,Docetaxel,CREATININE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Buclizine,Nanoparticle,0,0.42093676
DeepDDI,Docetaxel,Alogliptin,Nanoparticle,0,1.0
DeepDDI,Lapatinib,SODIUM_THIOMALATE,Nanoparticle,0,0.34799144
DeepDDI,Docetaxel,Citalopram,Nanoparticle,0,1.0
DeepDDI,Lapatinib,GLYCERYL TRIOLEATE,Nanoparticle,0,0.34702864
DeepDDI,Docetaxel,POLACRILIN_POTASSIUM,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Simvastatin,Nanoparticle,0,0.41095987
DeepDDI,Lapatinib,Pramocaine,Nanoparticle,0,0.4114189
DeepDDI,Docetaxel,PHENOL,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Lubiprostone,Nanoparticle,0,0.4088912
DeepDDI,Lapatinib,Iron_naphthenate,Nanoparticle,0,0.38840267
DeepDDI,Docetaxel,Sucroferric Oxyhydroxide,Nanoparticle,0,0.99999726
DeepDDI,Lapatinib,BARIUM_SULFATE,Nanoparticle,0,0.23281233
DeepDDI,Docetaxel,CARBON DIOXIDE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,GLYCINE HYDROCHLORIDE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,CYSTEINE_HYDROCHLORIDE,Nanoparticle,0,1.0
