,drug_name,excp_name,drug_smile,excp_smile,pair_smile,class
22,Sorafenib,terpinyl_butyrate,c1(ccc(NC(Nc2ccc(Cl)c(c2)C(F)(F)F)=O)cc1)Oc1cc(C(=O)NC)ncc1,C1(C)=CC[C@H](C(C)(OC(=O)CCC)C)CC1,c1(ccc(NC(Nc2ccc(Cl)c(c2)C(F)(F)F)=O)cc1)Oc1cc(C(=O)NC)ncc1.C1(C)=CC[C@H](C(C)(OC(=O)CCC)C)CC1,0
23,Sorafenib,hydrocortisone,c1c(NC(Nc2ccc(Oc3ccnc(c3)C(NC)=O)cc2)=O)ccc(c1C(F)(F)F)Cl,[C@@H]12[C@](C)(C[C@H](O)[C@H]3[C@H]1CCC1[C@@]3(CCC(=O)C=1)C)[C@@](C(CO)=O)(CC2)O,c1c(NC(Nc2ccc(Oc3ccnc(c3)C(NC)=O)cc2)=O)ccc(c1C(F)(F)F)Cl.[C@@H]12[C@](C)(C[C@H](O)[C@H]3[C@H]1CCC1[C@@]3(CCC(=O)C=1)C)[C@@](C(CO)=O)(CC2)O,0
24,Sorafenib,candesartan_cilexetil,c1(C(NC)=O)cc(ccn1)Oc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1,c1c(Cn2c3c(cccc3C(OC(OC(OC3CCCCC3)=O)C)=O)nc2OCC)ccc(c1)-c1ccccc1-c1nn[nH]n1,c1(C(NC)=O)cc(ccn1)Oc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1.c1c(Cn2c3c(cccc3C(OC(OC(OC3CCCCC3)=O)C)=O)nc2OCC)ccc(c1)-c1ccccc1-c1nn[nH]n1,1
25,Sorafenib,neohesperidin_DC,c1c(cc(C(F)(F)F)c(Cl)c1)NC(=O)Nc1ccc(Oc2ccnc(C(NC)=O)c2)cc1,O1[C@@H](Oc2cc(c(C(CCc3cc(c(cc3)OC)O)=O)c(O)c2)O)[C@@H]([C@@H](O)[C@H](O)[C@H]1CO)O[C@@H]1O[C@H]([C@H](O)[C@@H](O)[C@H]1O)C,c1c(cc(C(F)(F)F)c(Cl)c1)NC(=O)Nc1ccc(Oc2ccnc(C(NC)=O)c2)cc1.O1[C@@H](Oc2cc(c(C(CCc3cc(c(cc3)OC)O)=O)c(O)c2)O)[C@@H]([C@@H](O)[C@H](O)[C@H]1CO)O[C@@H]1O[C@H]([C@H](O)[C@@H](O)[C@H]1O)C,0
26,Sorafenib,ursodiol,Clc1c(cc(NC(=O)Nc2ccc(Oc3cc(C(NC)=O)ncc3)cc2)cc1)C(F)(F)F,C(CC(O)=O)[C@H]([C@@H]1[C@@]2([C@H]([C@@H]3[C@H](C[C@H]4[C@](CC[C@@H](O)C4)([C@H]3CC2)C)O)CC1)C)C,Clc1c(cc(NC(=O)Nc2ccc(Oc3cc(C(NC)=O)ncc3)cc2)cc1)C(F)(F)F.C(CC(O)=O)[C@H]([C@@H]1[C@@]2([C@H]([C@@H]3[C@H](C[C@H]4[C@](CC[C@@H](O)C4)([C@H]3CC2)C)O)CC1)C)C,0
27,Sorafenib,diclofenac,c1c(ccc(NC(=O)Nc2cc(c(Cl)cc2)C(F)(F)F)c1)Oc1ccnc(c1)C(=O)NC,c1(ccccc1CC(=O)O)Nc1c(Cl)cccc1Cl,c1c(ccc(NC(=O)Nc2cc(c(Cl)cc2)C(F)(F)F)c1)Oc1ccnc(c1)C(=O)NC.c1(ccccc1CC(=O)O)Nc1c(Cl)cccc1Cl,0
28,Sorafenib,eucalyptol,CNC(=O)c1cc(Oc2ccc(cc2)NC(Nc2cc(c(cc2)Cl)C(F)(F)F)=O)ccn1,C1CC2(C)OC(C)(C1CC2)C,CNC(=O)c1cc(Oc2ccc(cc2)NC(Nc2cc(c(cc2)Cl)C(F)(F)F)=O)ccn1.C1CC2(C)OC(C)(C1CC2)C,0
29,Sorafenib,beta_carotene,c1cc(NC(=O)Nc2ccc(cc2)Oc2cc(ncc2)C(NC)=O)cc(c1Cl)C(F)(F)F,C(=C(C)/C=C/C1C(C)(CCCC=1C)C)\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(\C=C\C1C(CCCC=1C)(C)C)C,c1cc(NC(=O)Nc2ccc(cc2)Oc2cc(ncc2)C(NC)=O)cc(c1Cl)C(F)(F)F.C(=C(C)/C=C/C1C(C)(CCCC=1C)C)\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(\C=C\C1C(CCCC=1C)(C)C)C,0
30,Sorafenib,menthol,c1(ccc(c(C(F)(F)F)c1)Cl)NC(Nc1ccc(Oc2ccnc(C(=O)NC)c2)cc1)=O,OC1C(C(C)C)CCC(C1)C,c1(ccc(c(C(F)(F)F)c1)Cl)NC(Nc1ccc(Oc2ccnc(C(=O)NC)c2)cc1)=O.OC1C(C(C)C)CCC(C1)C,0
31,Sorafenib,alpha-terpineol,CNC(=O)c1cc(Oc2ccc(cc2)NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)ccn1,CC1CCC(CC=1)C(O)(C)C,CNC(=O)c1cc(Oc2ccc(cc2)NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)ccn1.CC1CCC(CC=1)C(O)(C)C,0
32,Sorafenib,fenchyl_alcohol,c1(NC(=O)Nc2ccc(cc2)Oc2ccnc(C(=O)NC)c2)cc(C(F)(F)F)c(cc1)Cl,CC1(C(O)C2(CC1CC2)C)C,c1(NC(=O)Nc2ccc(cc2)Oc2ccnc(C(=O)NC)c2)cc(C(F)(F)F)c(cc1)Cl.CC1(C(O)C2(CC1CC2)C)C,0
33,Sorafenib,biotin,FC(F)(c1c(Cl)ccc(c1)NC(=O)Nc1ccc(cc1)Oc1ccnc(c1)C(NC)=O)F,O=C(O)CCCC[C@H]1[C@H]2NC(=O)N[C@H]2CS1,FC(F)(c1c(Cl)ccc(c1)NC(=O)Nc1ccc(cc1)Oc1ccnc(c1)C(NC)=O)F.O=C(O)CCCC[C@H]1[C@H]2NC(=O)N[C@H]2CS1,0
34,Sorafenib,xylitol,FC(c1c(ccc(c1)NC(=O)Nc1ccc(cc1)Oc1cc(C(NC)=O)ncc1)Cl)(F)F,C(O)[C@@H](O)C([C@H](CO)O)O,FC(c1c(ccc(c1)NC(=O)Nc1ccc(cc1)Oc1cc(C(NC)=O)ncc1)Cl)(F)F.C(O)[C@@H](O)C([C@H](CO)O)O,0
35,Sorafenib,trans-cinnamic_acid,FC(F)(c1c(ccc(c1)NC(=O)Nc1ccc(cc1)Oc1cc(ncc1)C(NC)=O)Cl)F,C(/C=C/c1ccccc1)(=O)O,FC(F)(c1c(ccc(c1)NC(=O)Nc1ccc(cc1)Oc1cc(ncc1)C(NC)=O)Cl)F.C(/C=C/c1ccccc1)(=O)O,0
36,Sorafenib,thimerosal,N(c1ccc(c(c1)C(F)(F)F)Cl)C(Nc1ccc(cc1)Oc1cc(ncc1)C(=O)NC)=O,c1c(S[Hg]CC)c(ccc1)C(=O)[O-],N(c1ccc(c(c1)C(F)(F)F)Cl)C(Nc1ccc(cc1)Oc1cc(ncc1)C(=O)NC)=O.c1c(S[Hg]CC)c(ccc1)C(=O)[O-],0
37,Sorafenib,tyramine,n1ccc(cc1C(NC)=O)Oc1ccc(NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)cc1,NCCc1ccc(O)cc1,n1ccc(cc1C(NC)=O)Oc1ccc(NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)cc1.NCCc1ccc(O)cc1,0
38,Sorafenib,fumaric_acid,c1c(Oc2ccc(cc2)NC(=O)Nc2cc(c(cc2)Cl)C(F)(F)F)ccnc1C(NC)=O,C(/C=C/C(O)=O)(O)=O,c1c(Oc2ccc(cc2)NC(=O)Nc2cc(c(cc2)Cl)C(F)(F)F)ccnc1C(NC)=O.C(/C=C/C(O)=O)(O)=O,0
39,Sorafenib,congo_red,O=C(Nc1ccc(Oc2cc(ncc2)C(=O)NC)cc1)Nc1ccc(Cl)c(c1)C(F)(F)F,c1c(S(=O)(=O)[O-])c2c(c(c1N=Nc1ccc(-c3ccc(N=Nc4c(c5c(c(c4)S([O-])(=O)=O)cccc5)N)cc3)cc1)N)cccc2,O=C(Nc1ccc(Oc2cc(ncc2)C(=O)NC)cc1)Nc1ccc(Cl)c(c1)C(F)(F)F.c1c(S(=O)(=O)[O-])c2c(c(c1N=Nc1ccc(-c3ccc(N=Nc4c(c5c(c(c4)S([O-])(=O)=O)cccc5)N)cc3)cc1)N)cccc2,1
40,Sorafenib,vanillin,c1cc(Oc2ccnc(C(=O)NC)c2)ccc1NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl,c1(c(cc(cc1)C=O)OC)O,c1cc(Oc2ccnc(C(=O)NC)c2)ccc1NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl.c1(c(cc(cc1)C=O)OC)O,0
41,Sorafenib,saccharin,C(F)(F)(c1cc(NC(Nc2ccc(Oc3cc(ncc3)C(NC)=O)cc2)=O)ccc1Cl)F,c1cccc2C(=O)NS(c12)(=O)=O,C(F)(F)(c1cc(NC(Nc2ccc(Oc3cc(ncc3)C(NC)=O)cc2)=O)ccc1Cl)F.c1cccc2C(=O)NS(c12)(=O)=O,0
42,Sorafenib,allantoin,O=C(c1cc(Oc2ccc(NC(=O)Nc3cc(c(cc3)Cl)C(F)(F)F)cc2)ccn1)NC,NC(NC1C(=O)NC(N1)=O)=O,O=C(c1cc(Oc2ccc(NC(=O)Nc3cc(c(cc3)Cl)C(F)(F)F)cc2)ccn1)NC.NC(NC1C(=O)NC(N1)=O)=O,0
43,Sorafenib,vitamin_A_palmitate,O=C(Nc1ccc(Oc2ccnc(C(NC)=O)c2)cc1)Nc1ccc(Cl)c(c1)C(F)(F)F,C(CCCCCCCCCCCC)CCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1C(C)(CCCC=1C)C,O=C(Nc1ccc(Oc2ccnc(C(NC)=O)c2)cc1)Nc1ccc(Cl)c(c1)C(F)(F)F.C(CCCCCCCCCCCC)CCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1C(C)(CCCC=1C)C,0
44,Sorafenib,acetylcholine_chloride,c1cnc(cc1Oc1ccc(cc1)NC(=O)Nc1cc(C(F)(F)F)c(Cl)cc1)C(=O)NC,CC(OCC[N+](C)(C)C)=O,c1cnc(cc1Oc1ccc(cc1)NC(=O)Nc1cc(C(F)(F)F)c(Cl)cc1)C(=O)NC.CC(OCC[N+](C)(C)C)=O,0
45,Sorafenib,dibutyl_phthalate,FC(c1cc(NC(Nc2ccc(cc2)Oc2ccnc(C(NC)=O)c2)=O)ccc1Cl)(F)F,c1(ccccc1C(=O)OCCCC)C(OCCCC)=O,FC(c1cc(NC(Nc2ccc(cc2)Oc2ccnc(C(NC)=O)c2)=O)ccc1Cl)(F)F.c1(ccccc1C(=O)OCCCC)C(OCCCC)=O,0
46,Sorafenib,trometamol,c1(nccc(c1)Oc1ccc(cc1)NC(Nc1cc(c(Cl)cc1)C(F)(F)F)=O)C(NC)=O,C(C(CO)(N)CO)O,c1(nccc(c1)Oc1ccc(cc1)NC(Nc1cc(c(Cl)cc1)C(F)(F)F)=O)C(NC)=O.C(C(CO)(N)CO)O,0
47,Sorafenib,benzoyl_peroxide,c1(Oc2ccc(cc2)NC(=O)Nc2cc(c(cc2)Cl)C(F)(F)F)ccnc(C(=O)NC)c1,c1(ccccc1)C(=O)OOC(c1ccccc1)=O,c1(Oc2ccc(cc2)NC(=O)Nc2cc(c(cc2)Cl)C(F)(F)F)ccnc(C(=O)NC)c1.c1(ccccc1)C(=O)OOC(c1ccccc1)=O,0
48,Sorafenib,triethyl_citrate,c1cnc(cc1Oc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1)C(=O)NC,CCOC(CC(O)(CC(OCC)=O)C(=O)OCC)=O,c1cnc(cc1Oc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1)C(=O)NC.CCOC(CC(O)(CC(OCC)=O)C(=O)OCC)=O,0
49,Sorafenib,triacetin,N(c1ccc(cc1)Oc1cc(C(=O)NC)ncc1)C(=O)Nc1cc(C(F)(F)F)c(Cl)cc1,O(C(=O)C)CC(OC(C)=O)COC(C)=O,N(c1ccc(cc1)Oc1cc(C(=O)NC)ncc1)C(=O)Nc1cc(C(F)(F)F)c(Cl)cc1.O(C(=O)C)CC(OC(C)=O)COC(C)=O,0
50,Sorafenib,glycerol,Clc1c(cc(cc1)NC(Nc1ccc(Oc2ccnc(C(=O)NC)c2)cc1)=O)C(F)(F)F,OC(CO)CO,Clc1c(cc(cc1)NC(Nc1ccc(Oc2ccnc(C(=O)NC)c2)cc1)=O)C(F)(F)F.OC(CO)CO,1
51,Sorafenib,propylene_glycol,c1c(Cl)c(C(F)(F)F)cc(c1)NC(Nc1ccc(Oc2cc(ncc2)C(NC)=O)cc1)=O,C(O)(CO)C,c1c(Cl)c(C(F)(F)F)cc(c1)NC(Nc1ccc(Oc2cc(ncc2)C(NC)=O)cc1)=O.C(O)(CO)C,0
52,Sorafenib,mebendazole,n1ccc(cc1C(NC)=O)Oc1ccc(cc1)NC(=O)Nc1cc(c(cc1)Cl)C(F)(F)F,N(C(=O)OC)c1[nH]c2c(n1)ccc(C(=O)c1ccccc1)c2,n1ccc(cc1C(NC)=O)Oc1ccc(cc1)NC(=O)Nc1cc(c(cc1)Cl)C(F)(F)F.N(C(=O)OC)c1[nH]c2c(n1)ccc(C(=O)c1ccccc1)c2,0
53,Sorafenib,L-proline,c1(ccc(cc1)NC(=O)Nc1cc(C(F)(F)F)c(Cl)cc1)Oc1ccnc(C(NC)=O)c1,C(=O)([C@@H]1CCCN1)O,c1(ccc(cc1)NC(=O)Nc1cc(C(F)(F)F)c(Cl)cc1)Oc1ccnc(C(NC)=O)c1.C(=O)([C@@H]1CCCN1)O,0
54,Sorafenib,L-lysine,FC(F)(F)c1c(ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(=O)NC)cc2)c1)Cl,C(CN)CC[C@H](N)C(=O)O,FC(F)(F)c1c(ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(=O)NC)cc2)c1)Cl.C(CN)CC[C@H](N)C(=O)O,0
55,Sorafenib,L-ascorbic_acid,C(Nc1ccc(cc1)Oc1cc(ncc1)C(NC)=O)(Nc1ccc(Cl)c(C(F)(F)F)c1)=O,OC1=C(O)[C@@H]([C@@H](O)CO)OC1=O,C(Nc1ccc(cc1)Oc1cc(ncc1)C(NC)=O)(Nc1ccc(Cl)c(C(F)(F)F)c1)=O.OC1=C(O)[C@@H]([C@@H](O)CO)OC1=O,0
56,Sorafenib,stearic_acid,N(C(Nc1ccc(Oc2cc(ncc2)C(NC)=O)cc1)=O)c1ccc(Cl)c(c1)C(F)(F)F,C(CCCCCCCCCCC(=O)O)CCCCCC,N(C(Nc1ccc(Oc2cc(ncc2)C(NC)=O)cc1)=O)c1ccc(Cl)c(c1)C(F)(F)F.C(CCCCCCCCCCC(=O)O)CCCCCC,0
57,Sorafenib,(R)-(+)-Limonene,CNC(=O)c1cc(ccn1)Oc1ccc(cc1)NC(=O)Nc1cc(C(F)(F)F)c(cc1)Cl,C1CC(C)=CC[C@@H]1C(C)=C,CNC(=O)c1cc(ccn1)Oc1ccc(cc1)NC(=O)Nc1cc(C(F)(F)F)c(cc1)Cl.C1CC(C)=CC[C@@H]1C(C)=C,0
58,Sorafenib,meglumine,c1cc(NC(Nc2ccc(c(c2)C(F)(F)F)Cl)=O)ccc1Oc1cc(C(NC)=O)ncc1,C([C@H](O)[C@H]([C@@H]([C@@H](CO)O)O)O)NC,c1cc(NC(Nc2ccc(c(c2)C(F)(F)F)Cl)=O)ccc1Oc1cc(C(NC)=O)ncc1.C([C@H](O)[C@H]([C@@H]([C@@H](CO)O)O)O)NC,0
59,Sorafenib,hydrochlorothiazide,FC(F)(F)c1c(ccc(NC(Nc2ccc(cc2)Oc2cc(ncc2)C(NC)=O)=O)c1)Cl,Clc1cc2c(S(=O)(=O)NCN2)cc1S(=O)(=O)N,FC(F)(F)c1c(ccc(NC(Nc2ccc(cc2)Oc2cc(ncc2)C(NC)=O)=O)c1)Cl.Clc1cc2c(S(=O)(=O)NCN2)cc1S(=O)(=O)N,0
60,Sorafenib,ketoprofen,n1ccc(cc1C(=O)NC)Oc1ccc(cc1)NC(=O)Nc1ccc(c(C(F)(F)F)c1)Cl,c1ccccc1C(=O)c1cccc(c1)C(C)C(=O)O,n1ccc(cc1C(=O)NC)Oc1ccc(cc1)NC(=O)Nc1ccc(c(C(F)(F)F)c1)Cl.c1ccccc1C(=O)c1cccc(c1)C(C)C(=O)O,0
61,Sorafenib,memantine_hydrochloride,c1c(c(Cl)ccc1NC(Nc1ccc(Oc2cc(C(=O)NC)ncc2)cc1)=O)C(F)(F)F,CC12CC3CC(CC(C3)(C1)N)(C)C2,c1c(c(Cl)ccc1NC(Nc1ccc(Oc2cc(C(=O)NC)ncc2)cc1)=O)C(F)(F)F.CC12CC3CC(CC(C3)(C1)N)(C)C2,0
62,Sorafenib,naproxen_sodium,FC(F)(F)c1c(Cl)ccc(NC(Nc2ccc(cc2)Oc2ccnc(C(NC)=O)c2)=O)c1,c12cc(ccc2cc(OC)cc1)[C@H](C)C(=O)[O-],FC(F)(F)c1c(Cl)ccc(NC(Nc2ccc(cc2)Oc2ccnc(C(NC)=O)c2)=O)c1.c12cc(ccc2cc(OC)cc1)[C@H](C)C(=O)[O-],0
63,Sorafenib,mannitol,c1(c(ccc(c1)NC(=O)Nc1ccc(cc1)Oc1ccnc(c1)C(=O)NC)Cl)C(F)(F)F,[C@@H](O)([C@@H](CO)O)[C@@H]([C@H](O)CO)O,c1(c(ccc(c1)NC(=O)Nc1ccc(cc1)Oc1ccnc(c1)C(=O)NC)Cl)C(F)(F)F.[C@@H](O)([C@@H](CO)O)[C@@H]([C@H](O)CO)O,0
