drug_name,exc_name,drug_smile,exc_smile,pair_smile,class
Sorafenib,cholic_acid,O(c1ccc(NC(Nc2cc(C(F)(F)F)c(Cl)cc2)=O)cc1)c1ccnc(C(=O)NC)c1,C1[C@@H](O)C[C@@H]2[C@](C1)([C@H]1C[C@H](O)[C@@]3([C@H](CC[C@H]3[C@@H]1[C@@H](C2)O)[C@@H](CCC(=O)O)C)C)C,O(c1ccc(NC(Nc2cc(C(F)(F)F)c(Cl)cc2)=O)cc1)c1ccnc(C(=O)NC)c1.C1[C@@H](O)C[C@@H]2[C@](C1)([C@H]1C[C@H](O)[C@@]3([C@H](CC[C@H]3[C@@H]1[C@@H](C2)O)[C@@H](CCC(=O)O)C)C)C,1
Sorafenib,cholic_acid,c1c(ccc(c1)Oc1ccnc(C(=O)NC)c1)NC(Nc1ccc(c(c1)C(F)(F)F)Cl)=O,C([C@H]([C@@H]1[C@@]2([C@@H](CC1)[C@H]1[C@H](C[C@@H]2O)[C@@]2(C)CC[C@@H](O)C[C@H]2C[C@H]1O)C)C)CC(=O)O,c1c(ccc(c1)Oc1ccnc(C(=O)NC)c1)NC(Nc1ccc(c(c1)C(F)(F)F)Cl)=O.C([C@H]([C@@H]1[C@@]2([C@@H](CC1)[C@H]1[C@H](C[C@@H]2O)[C@@]2(C)CC[C@@H](O)C[C@H]2C[C@H]1O)C)C)CC(=O)O,1
Sorafenib,cholic_acid,C(c1cc(Oc2ccc(NC(=O)Nc3cc(c(Cl)cc3)C(F)(F)F)cc2)ccn1)(=O)NC,[C@@H]12CC[C@H]([C@H](C)CCC(=O)O)[C@@]1(C)[C@@H](O)C[C@H]1[C@H]2[C@H](O)C[C@@H]2C[C@@H](CC[C@]12C)O,C(c1cc(Oc2ccc(NC(=O)Nc3cc(c(Cl)cc3)C(F)(F)F)cc2)ccn1)(=O)NC.[C@@H]12CC[C@H]([C@H](C)CCC(=O)O)[C@@]1(C)[C@@H](O)C[C@H]1[C@H]2[C@H](O)C[C@@H]2C[C@@H](CC[C@]12C)O,1
Sorafenib,cholic_acid,c1(Cl)ccc(cc1C(F)(F)F)NC(=O)Nc1ccc(Oc2cc(C(=O)NC)ncc2)cc1,[C@H]1(O)C[C@H]2C[C@H]([C@H]3[C@@H]4CC[C@H]([C@@H](CCC(=O)O)C)[C@]4([C@@H](O)C[C@@H]3[C@@]2(C)CC1)C)O,c1(Cl)ccc(cc1C(F)(F)F)NC(=O)Nc1ccc(Oc2cc(C(=O)NC)ncc2)cc1.[C@H]1(O)C[C@H]2C[C@H]([C@H]3[C@@H]4CC[C@H]([C@@H](CCC(=O)O)C)[C@]4([C@@H](O)C[C@@H]3[C@@]2(C)CC1)C)O,1
Sorafenib,cholic_acid,C(=O)(c1cc(Oc2ccc(cc2)NC(Nc2cc(C(F)(F)F)c(cc2)Cl)=O)ccn1)NC,[C@@H]1(C[C@H]2C[C@@H](O)[C@@H]3[C@H](C[C@@H]([C@]4(C)[C@H](CC[C@H]43)[C@H](C)CCC(O)=O)O)[C@]2(CC1)C)O,C(=O)(c1cc(Oc2ccc(cc2)NC(Nc2cc(C(F)(F)F)c(cc2)Cl)=O)ccn1)NC.[C@@H]1(C[C@H]2C[C@@H](O)[C@@H]3[C@H](C[C@@H]([C@]4(C)[C@H](CC[C@H]43)[C@H](C)CCC(O)=O)O)[C@]2(CC1)C)O,1
Sorafenib,cholic_acid,c1(NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)ccc(Oc2cc(ncc2)C(NC)=O)cc1,C1[C@]2(C)[C@H]3C[C@@H]([C@]4([C@@H](CC[C@@H]4[C@@H](CCC(O)=O)C)[C@@H]3[C@@H](C[C@@H]2C[C@@H](C1)O)O)C)O,c1(NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)ccc(Oc2cc(ncc2)C(NC)=O)cc1.C1[C@]2(C)[C@H]3C[C@@H]([C@]4([C@@H](CC[C@@H]4[C@@H](CCC(O)=O)C)[C@@H]3[C@@H](C[C@@H]2C[C@@H](C1)O)O)C)O,1
Sorafenib,glycocholic_acid,CNC(c1cc(Oc2ccc(NC(=O)Nc3cc(c(Cl)cc3)C(F)(F)F)cc2)ccn1)=O,N(C(=O)CC[C@H]([C@@H]1[C@]2(C)[C@@H](CC1)[C@@H]1[C@@H](C[C@@H]3C[C@@H](CC[C@@]3([C@H]1C[C@@H]2O)C)O)O)C)CC(=O)O,CNC(c1cc(Oc2ccc(NC(=O)Nc3cc(c(Cl)cc3)C(F)(F)F)cc2)ccn1)=O.N(C(=O)CC[C@H]([C@@H]1[C@]2(C)[C@@H](CC1)[C@@H]1[C@@H](C[C@@H]3C[C@@H](CC[C@@]3([C@H]1C[C@@H]2O)C)O)O)C)CC(=O)O,1
Sorafenib,glycocholic_acid,c1(ccc(cc1)Oc1ccnc(C(NC)=O)c1)NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,C(CC(NCC(=O)O)=O)[C@H]([C@@H]1[C@]2(C)[C@H]([C@@H]3[C@@H](C[C@@H]4C[C@@H](CC[C@@]4([C@H]3C[C@@H]2O)C)O)O)CC1)C,c1(ccc(cc1)Oc1ccnc(C(NC)=O)c1)NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1.C(CC(NCC(=O)O)=O)[C@H]([C@@H]1[C@]2(C)[C@H]([C@@H]3[C@@H](C[C@@H]4C[C@@H](CC[C@@]4([C@H]3C[C@@H]2O)C)O)O)CC1)C,1
Sorafenib,glycocholic_acid,C(c1c(ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(NC)=O)cc2)c1)Cl)(F)(F)F,OC(=O)CNC(=O)CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1([C@@H](O)C[C@H]1[C@H]2[C@H](O)C[C@@H]2C[C@@H](CC[C@@]21C)O)C,C(c1c(ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(NC)=O)cc2)c1)Cl)(F)(F)F.OC(=O)CNC(=O)CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1([C@@H](O)C[C@H]1[C@H]2[C@H](O)C[C@@H]2C[C@@H](CC[C@@]21C)O)C,1
Sorafenib,glycocholic_acid,C(NC)(c1cc(Oc2ccc(NC(=O)Nc3cc(C(F)(F)F)c(Cl)cc3)cc2)ccn1)=O,C(O)(=O)CNC(=O)CC[C@@H](C)[C@@H]1[C@]2(C)[C@H]([C@@H]3[C@H](O)C[C@H]4[C@]([C@H]3C[C@@H]2O)(C)CC[C@H](C4)O)CC1,C(NC)(c1cc(Oc2ccc(NC(=O)Nc3cc(C(F)(F)F)c(Cl)cc3)cc2)ccn1)=O.C(O)(=O)CNC(=O)CC[C@@H](C)[C@@H]1[C@]2(C)[C@H]([C@@H]3[C@H](O)C[C@H]4[C@]([C@H]3C[C@@H]2O)(C)CC[C@H](C4)O)CC1,1
Sorafenib,glycocholic_acid,c1(ccc(Oc2cc(C(=O)NC)ncc2)cc1)NC(=O)Nc1cc(C(F)(F)F)c(cc1)Cl,C1[C@@]2(C)[C@H](C[C@H]([C@@H]3[C@@H]2C[C@H](O)[C@@]2([C@@H]([C@@H](CCC(NCC(O)=O)=O)C)CC[C@@H]32)C)O)C[C@@H](C1)O,c1(ccc(Oc2cc(C(=O)NC)ncc2)cc1)NC(=O)Nc1cc(C(F)(F)F)c(cc1)Cl.C1[C@@]2(C)[C@H](C[C@H]([C@@H]3[C@@H]2C[C@H](O)[C@@]2([C@@H]([C@@H](CCC(NCC(O)=O)=O)C)CC[C@@H]32)C)O)C[C@@H](C1)O,1
Sorafenib,glycocholic_acid,c1(ccc(cc1)Oc1ccnc(c1)C(NC)=O)NC(Nc1ccc(c(C(F)(F)F)c1)Cl)=O,C(C(=O)O)NC(=O)CC[C@H]([C@H]1CC[C@@H]2[C@@]1([C@@H](O)C[C@@H]1[C@]3(C)[C@H](C[C@H]([C@@H]21)O)C[C@@H](CC3)O)C)C,c1(ccc(cc1)Oc1ccnc(c1)C(NC)=O)NC(Nc1ccc(c(C(F)(F)F)c1)Cl)=O.C(C(=O)O)NC(=O)CC[C@H]([C@H]1CC[C@@H]2[C@@]1([C@@H](O)C[C@@H]1[C@]3(C)[C@H](C[C@H]([C@@H]21)O)C[C@@H](CC3)O)C)C,1
Sorafenib,glycocholic_acid,N(C)C(c1nccc(Oc2ccc(NC(=O)Nc3ccc(c(c3)C(F)(F)F)Cl)cc2)c1)=O,N(C(CC[C@H]([C@H]1CC[C@@H]2[C@@]1([C@H](C[C@@H]1[C@@]3(C)CC[C@H](C[C@H]3C[C@H]([C@@H]21)O)O)O)C)C)=O)CC(O)=O,N(C)C(c1nccc(Oc2ccc(NC(=O)Nc3ccc(c(c3)C(F)(F)F)Cl)cc2)c1)=O.N(C(CC[C@H]([C@H]1CC[C@@H]2[C@@]1([C@H](C[C@@H]1[C@@]3(C)CC[C@H](C[C@H]3C[C@H]([C@@H]21)O)O)O)C)C)=O)CC(O)=O,1
Sorafenib,glycocholic_acid,FC(c1c(Cl)ccc(c1)NC(Nc1ccc(cc1)Oc1ccnc(c1)C(=O)NC)=O)(F)F,[C@@H]12[C@H]3[C@@H]([C@@]4([C@H](C[C@H]3O)C[C@@H](CC4)O)C)C[C@@H]([C@]2(C)[C@H](CC1)[C@@H](CCC(NCC(O)=O)=O)C)O,FC(c1c(Cl)ccc(c1)NC(Nc1ccc(cc1)Oc1ccnc(c1)C(=O)NC)=O)(F)F.[C@@H]12[C@H]3[C@@H]([C@@]4([C@H](C[C@H]3O)C[C@@H](CC4)O)C)C[C@@H]([C@]2(C)[C@H](CC1)[C@@H](CCC(NCC(O)=O)=O)C)O,1
Sorafenib,glycocholic_acid,N(C(=O)c1nccc(c1)Oc1ccc(cc1)NC(Nc1cc(c(cc1)Cl)C(F)(F)F)=O)C,O[C@@H]1[C@@]2(C)[C@@H](CC[C@@H]2[C@H](C)CCC(NCC(=O)O)=O)[C@H]2[C@H](C1)[C@]1(CC[C@@H](O)C[C@H]1C[C@H]2O)C,N(C(=O)c1nccc(c1)Oc1ccc(cc1)NC(Nc1cc(c(cc1)Cl)C(F)(F)F)=O)C.O[C@@H]1[C@@]2(C)[C@@H](CC[C@@H]2[C@H](C)CCC(NCC(=O)O)=O)[C@H]2[C@H](C1)[C@]1(CC[C@@H](O)C[C@H]1C[C@H]2O)C,1
Sorafenib,glycocholic_acid,c1c(ccc(Oc2ccnc(C(=O)NC)c2)c1)NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,C1[C@@H]2[C@@]3([C@H](C[C@@H](O)[C@H]2[C@H]2[C@@](C)([C@@H]([C@H](C)CCC(NCC(O)=O)=O)CC2)[C@H]1O)C[C@H](O)CC3)C,c1c(ccc(Oc2ccnc(C(=O)NC)c2)c1)NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1.C1[C@@H]2[C@@]3([C@H](C[C@@H](O)[C@H]2[C@H]2[C@@](C)([C@@H]([C@H](C)CCC(NCC(O)=O)=O)CC2)[C@H]1O)C[C@H](O)CC3)C,1
Sorafenib,glycocholic_acid,C(F)(F)(F)c1cc(ccc1Cl)NC(Nc1ccc(cc1)Oc1ccnc(c1)C(NC)=O)=O,C1[C@H]([C@@H]2[C@@H]([C@@]3([C@H]1C[C@@H](CC3)O)C)C[C@@H]([C@]1(C)[C@H](CC[C@H]12)[C@H](C)CCC(=O)NCC(=O)O)O)O,C(F)(F)(F)c1cc(ccc1Cl)NC(Nc1ccc(cc1)Oc1ccnc(c1)C(NC)=O)=O.C1[C@H]([C@@H]2[C@@H]([C@@]3([C@H]1C[C@@H](CC3)O)C)C[C@@H]([C@]1(C)[C@H](CC[C@H]12)[C@H](C)CCC(=O)NCC(=O)O)O)O,1
